Ticker,銘柄名
3077,S: ホリイフードサービス
3079,S: ディーブイエックス
3080,S: ジェーソン
3082,S: きちりホールディングス
3083,S: スターシーズ
3086,P: J.フロント リテイリング
3087,P: ドトール・日レスホールディングス
3088,P: マツキヨココカラ＆カンパニー
3089,S: テクノアルファ
3091,P: ブロンコビリー
3092,P: ZOZO
3093,P: トレジャー・ファクトリー
3094,S: スーパーバリュー
3096,S: オーシャンシステム
3097,P: 物語コーポレーション
3099,P: 三越伊勢丹ホールディングス
3101,P: 東洋紡
3103,P: ユニチカ
3104,P: 富士紡ホールディングス
3105,P: 日清紡ホールディングス
3106,P: 倉敷紡績
3107,P: ダイワボウホールディングス
3109,P: シキボウ
3110,P: 日東紡績
3111,S: オーミケンシ
3113,S: UNIVA・Oakホールディングス
3116,P: トヨタ紡織
3121,S: マーチャント・バンカーズ
3123,S: サイボー
3131,S: シンデン・ハイテックス
3132,P: マクニカホールディングス
3133,G: 海帆
3134,S: Hamee
3135,P: マーケットエンタープライズ
3137,G: ファンデリー
3138,G: 富士山マガジンサービス
3139,P: ラクト・ジャパン
3140,G: BRUNO
3141,P: ウエルシアホールディングス
3143,S: オーウイル
3148,P: クリエイトSDホールディングス
3150,P: グリムス
3151,P: バイタルケーエスケー・ホールディングス
3153,P: 八洲電機
3154,P: メディアスホールディングス
3156,P: レスター
3157,S: ジオリーブグループ
3159,S: 丸善CHIホールディングス
3160,S: 大光
3161,S: アゼアス
3166,S: OCHIホールディングス
3167,P: TOKAIホールディングス
3168,S: MERF
3169,S: ミサワ
3172,S: ティーライフ
3173,S: Cominix
3174,S: ハピネス・アンド・ディ
3175,S: エー・ピーホールディングス
3176,P: 三洋貿易
3177,S: ありがとうサービス
3178,S: チムニー
3179,P: シュッピン
3180,P: ビューティガレージ
3181,S: 買取王国
3182,P: オイシックス・ラ・大地
3183,P: ウイン・パートナーズ
3184,S: ICDAホールディングス
3185,G: 夢展望
3186,P: ネクステージ
3187,G: ミラタップ
3189,S: ANAP
3190,S: ホットマン
3191,P: ジョイフル本田
3192,S: 白鳩
3193,P: エターナルホスピタリティグループ
3195,G: ジェネレーションパス
3196,P: ホットランド
3197,P: すかいらーくホールディングス
3198,P: SFPホールディングス
3199,P: 綿半ホールディングス
3201,P: 日本毛織
3202,S: ダイトウボウ
3204,S: トーア紡コーポレーション
3205,S: ダイドーリミテッド
3221,P: ヨシックスホールディングス
3222,S: ユナイテッド・スーパーマーケット・ホールディングス
3223,S: エスエルディー
3224,G: ゼネラル・オイスター
3231,P: 野村不動産ホールディングス
3232,P: 三重交通グループホールディングス
3236,S: プロパスト
3237,G: イントランス
3238,S: セントラル総合開発
3241,S: ウィル
3242,S: アーバネットコーポレーション
3245,P: ディア・ライフ
3246,S: コーセーアールイー
3248,S: アールエイジ
3252,P: 地主
3254,S: プレサンスコーポレーション
3261,G: グランディーズ
3264,S: アスコット
3266,S: ファンドクリエーショングループ
3267,S: フィル・カンパニー
3271,S: THEグローバル社
3276,P: JPMC
3277,S: サンセイランディック
3280,S: エストラスト
3284,P: フージャースホールディングス
3286,G: トラストホールディングス
3288,P: オープンハウスグループ
3289,P: 東急不動産ホールディングス
3291,P: 飯田グループホールディングス
3293,S: アズマハウス
3294,S: イーグランド
3297,S: 東武住販
3299,S: ムゲンエステート
3300,G: アンビション DX ホールディングス
3302,P: 帝国繊維
3306,S: 日本製麻
3315,P: 日本コークス工業
3317,S: フライングガーデン
3319,P: ゴルフダイジェスト・オンライン
3320,S: クロスプラス
3321,S: ミタチ産業
3322,S: アルファグループ
3323,S: レカム
3326,S: ランシステム
3328,P: BEENOS
3329,S: 東和フードサービス
3333,P: あさひ
3341,P: 日本調剤
3347,S: トラスト
3349,P: コスモス薬品
3350,S: メタプラネット
3352,S: バッファロー
3353,S: メディカル一光グループ
3355,S: クリヤマホールディングス
3358,S: ワイエスフード
3359,G: cotta
3360,P: シップヘルスケアホールディングス
3361,S: トーエル
3370,S: フジタコーポレーション
3371,P: ソフトクリエイトホールディングス
3372,S: 関門海
3374,S: 内外テック
3375,S: ZOA
3377,S: バイク王＆カンパニー
3382,P: セブン＆アイ・ホールディングス
3386,S: コスモ・バイオ
3387,P: クリエイト・レストランツ・ホールディングス
3388,P: 明治電機工業
3391,P: ツルハホールディングス
3392,S: デリカフーズホールディングス
3393,P: スターティアホールディングス
3395,P: サンマルクホールディングス
3396,S: フェリシモ
3397,P: トリドールホールディングス
3399,S: 丸千代山岡家
3401,P: 帝人
3402,P: 東レ
3405,P: クラレ
3407,P: 旭化成
3409,S: 北日本紡績
